model,split,seed,condition,i,target,prediction,correct
Qwen/Qwen3.8-27B,ChemicalID,1,clean,0,"Macrocephaly, Alopecia, Cutis Laxa, and Scoliosis","Macrocephaly, Alopecia, Cutis Laxa, and Scoliosis",1
Qwen/Qwen3.8-27B,ChemicalID,1,clean,1,Prostatic Neoplasms,Prostatic Neoplasms,1
Qwen/Qwen3.8-27B,ChemicalID,1,clean,2,Heart Failure,Heart Failure,1
Qwen/Qwen3.8-27B,ChemicalID,1,clean,3,"Glomerulosclerosis, Focal Segmental","Glomerulosclerosis, Focal Segmental",1
Qwen/Qwen3.8-27B,ChemicalID,1,clean,4,Kidney Neoplasms,Kidney Neoplasms,1
Qwen/Qwen3.8-27B,ChemicalID,1,clean,5,Myocardial Ischemia,Myocardial Ischemia,1
Qwen/Qwen3.8-27B,ChemicalID,1,clean,6,Idiopathic Pulmonary Fibrosis,Idiopathic Pulmonary Fibrosis,1
Qwen/Qwen3.8-27B,ChemicalID,1,clean,7,Heart Failure,Heart Failure,1
Qwen/Qwen3.8-27B,ChemicalID,1,clean,8,"Leukemia, Lymphocytic, Chronic, B-Cell","Leukemia, Lymphocytic, Chronic, B-Cell",1
Qwen/Qwen3.8-27B,ChemicalID,1,clean,9,Obesity,Obesity,1
Qwen/Qwen3.8-27B,ChemicalID,1,clean,10,Cardiotoxicity,Cardiotoxicity,1
Qwen/Qwen3.8-27B,ChemicalID,1,clean,11,Diabetic Nephropathies,Diabetic Nephropathies,1
Qwen/Qwen3.8-27B,ChemicalID,1,clean,12,"Diabetes Mellitus, Experimental","Diabetes Mellitus, Experimental",1
Qwen/Qwen3.8-27B,ChemicalID,1,clean,13,Amphetamine-Related Disorders,Amphetamine-Related Disorders,1
Qwen/Qwen3.8-27B,ChemicalID,1,clean,14,Mitochondrial Myopathies,Mitochondrial Myopathies,1
Qwen/Qwen3.8-27B,ChemicalID,1,clean,15,"Liver Cirrhosis, Experimental","Liver Cirrhosis, Experimental",1
Qwen/Qwen3.8-27B,ChemicalID,1,clean,16,Coronary Disease,Coronary Disease,1
Qwen/Qwen3.8-27B,ChemicalID,1,clean,17,"Shock, Hemorrhagic","Shock, Hemorrhagic",1
Qwen/Qwen3.8-27B,ChemicalID,1,clean,18,Endometriosis,Endometriosis,1
Qwen/Qwen3.8-27B,ChemicalID,1,clean,19,Prostatic Neoplasms,Prostatic Neoplasms,1
Qwen/Qwen3.8-27B,ChemicalID,1,clean,20,"Disease Models, Animal",No supported path.,0
Qwen/Qwen3.8-27B,ChemicalID,1,clean,21,Hepatolenticular Degeneration,Hepatolenticular Degeneration,1
Qwen/Qwen3.8-27B,ChemicalID,1,clean,22,Norrie disease,Norrie disease,1
Qwen/Qwen3.8-27B,ChemicalID,1,clean,23,Blood Coagulation Disorders,Blood Coagulation Disorders,1
Qwen/Qwen3.8-27B,ChemicalID,1,clean,24,Partington X-linked mental retardation syndrome,Partington X-linked mental retardation syndrome,1
Qwen/Qwen3.8-27B,ChemicalID,1,clean,25,Brain Edema,No supported path,0
Qwen/Qwen3.8-27B,ChemicalID,1,clean,26,Chemical and Drug Induced Liver Injury,Chemical and Drug Induced Liver Injury,1
Qwen/Qwen3.8-27B,ChemicalID,1,clean,27,Bronchial Hyperreactivity,Bronchial Hyperreactivity,1
Qwen/Qwen3.8-27B,ChemicalID,1,clean,28,Acute Kidney Injury,Acute Kidney Injury,1
Qwen/Qwen3.8-27B,ChemicalID,1,clean,29,Kidney Neoplasms,Kidney Neoplasms,1
Qwen/Qwen3.8-27B,ChemicalID,1,clean,30,Antithrombin III Deficiency,Antithrombin III Deficiency,1
Qwen/Qwen3.8-27B,ChemicalID,1,clean,31,Cardiovascular Diseases,Cardiovascular Diseases,1
Qwen/Qwen3.8-27B,ChemicalID,1,clean,32,Myocardial Infarction,Myocardial Infarction,1
Qwen/Qwen3.8-27B,ChemicalID,1,clean,33,Aortic Rupture,Aortic Rupture,1
Qwen/Qwen3.8-27B,ChemicalID,1,clean,34,Pain,Pain,1
Qwen/Qwen3.8-27B,ChemicalID,1,clean,35,Osteopetrosis with renal tubular acidosis,Osteopetrosis with renal tubular acidosis,1
Qwen/Qwen3.8-27B,ChemicalID,1,clean,36,Carcinoma,Carcinoma,1
Qwen/Qwen3.8-27B,ChemicalID,1,clean,37,Adenomatous Polyposis Coli,Adenomatous Polyposis Coli,1
Qwen/Qwen3.8-27B,ChemicalID,1,clean,38,Cocaine-Related Disorders,No supported path.,0
Qwen/Qwen3.8-27B,ChemicalID,1,clean,39,Respiratory Insufficiency,Respiratory Insufficiency,1
Qwen/Qwen3.8-27B,ChemicalID,1,clean,40,Amyotrophic Lateral Sclerosis,Amyotrophic Lateral Sclerosis,1
Qwen/Qwen3.8-27B,ChemicalID,1,clean,41,Endometriosis,Endometriosis,1
Qwen/Qwen3.8-27B,ChemicalID,1,clean,42,Ureteral Obstruction,Ureteral Obstruction,1
Qwen/Qwen3.8-27B,ChemicalID,1,clean,43,"Carcinoma, Hepatocellular","Carcinoma, Hepatocellular",1
Qwen/Qwen3.8-27B,ChemicalID,1,clean,44,Thrombosis,Thrombosis,1
Qwen/Qwen3.8-27B,ChemicalID,1,clean,45,"Carcinoma, Adenoid Cystic","Carcinoma, Adenoid Cystic",1
Qwen/Qwen3.8-27B,ChemicalID,1,clean,46,"Diabetes Mellitus, Experimental","Diabetes Mellitus, Experimental",1
Qwen/Qwen3.8-27B,ChemicalID,1,clean,47,"Liver Cirrhosis, Experimental","Liver Cirrhosis, Experimental",1
Qwen/Qwen3.8-27B,ChemicalID,1,clean,48,Fatty Liver,Fatty Liver,1
Qwen/Qwen3.8-27B,ChemicalID,1,clean,49,Endometrial Neoplasms,Endometrial Neoplasms,1
Qwen/Qwen3.8-27B,ChemicalID,1,distractor_5,0,"Macrocephaly, Alopecia, Cutis Laxa, and Scoliosis","Macrocephaly, Alopecia, Cutis Laxa, and Scoliosis",1
Qwen/Qwen3.8-27B,ChemicalID,1,distractor_5,1,Prostatic Neoplasms,No supported path,0
Qwen/Qwen3.8-27B,ChemicalID,1,distractor_5,2,Heart Failure,No supported path,0
Qwen/Qwen3.8-27B,ChemicalID,1,distractor_5,3,"Glomerulosclerosis, Focal Segmental","Glomerulosclerosis, Focal Segmental",1
Qwen/Qwen3.8-27B,ChemicalID,1,distractor_5,4,Kidney Neoplasms,Kidney Neoplasms,1
Qwen/Qwen3.8-27B,ChemicalID,1,distractor_5,5,Myocardial Ischemia,Myocardial Ischemia,1
Qwen/Qwen3.8-27B,ChemicalID,1,distractor_5,6,Idiopathic Pulmonary Fibrosis,Idiopathic Pulmonary Fibrosis,1
Qwen/Qwen3.8-27B,ChemicalID,1,distractor_5,7,Heart Failure,Heart Failure,1
Qwen/Qwen3.8-27B,ChemicalID,1,distractor_5,8,"Leukemia, Lymphocytic, Chronic, B-Cell","Leukemia, Lymphocytic, Chronic, B-Cell",1
Qwen/Qwen3.8-27B,ChemicalID,1,distractor_5,9,Obesity,Obesity,1
